DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
2/24/22 10:36:0,20.71815,0.1152633,2.736037,201.2952,101.9176,63.44053,30.27599,2.584226,2.584211,2.584432,2.58419,2.584074,2.584373,2.584015,2.584127,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71801,0.1150998,2.736209,204.2596,101.9177,63.43844,30.27732,2.584188,2.584203,2.58443,2.584268,2.584078,2.584441,2.583942,2.584112,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71803,0.1151802,2.735797,197.6334,101.9174,63.43803,30.27537,2.584206,2.584277,2.584445,2.584312,2.584099,2.584399,2.584001,2.584169,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71778,0.1152847,2.735946,198.7346,101.9171,63.43865,30.27682,2.584135,2.584278,2.584459,2.584286,2.584104,2.584408,2.58405,2.584115,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71776,0.1153865,2.736093,195.4691,101.917,63.43829,30.27696,2.584233,2.584262,2.584405,2.584316,2.584152,2.584375,2.583952,2.584175,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71774,0.1155406,2.736285,198.8969,101.9171,63.43954,30.27784,2.584215,2.584255,2.584355,2.584255,2.584117,2.584348,2.583994,2.584174,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71758,0.1152156,2.735801,202.8889,101.9174,63.43974,30.27455,2.584215,2.584208,2.58439,2.58428,2.584039,2.584375,2.584063,2.584101,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71752,0.1150459,2.735889,201.5409,101.9173,63.43975,30.27394,2.584133,2.584229,2.584376,2.584237,2.584129,2.584409,2.583999,2.584135,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71741,0.1158351,2.735815,202.6886,101.9173,63.43978,30.27579,2.584191,2.584257,2.58443,2.584272,2.584037,2.584397,2.584046,2.584139,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71747,0.1159654,2.736147,199.6581,101.9165,63.43484,30.27826,2.584197,2.584241,2.584416,2.584197,2.58413,2.584396,2.584005,2.584128,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71772,0.116625,2.735988,205.4276,101.9162,63.43626,30.27685,2.584099,2.584235,2.584492,2.584236,2.584063,2.584328,2.584034,2.584091,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71771,0.1160286,2.736116,195.3602,101.9159,63.43691,30.2772,2.58424,2.584203,2.584381,2.584221,2.584108,2.584429,2.583986,2.584189,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71746,0.114978,2.735896,197.9038,101.9172,63.43508,30.27742,2.584192,2.584199,2.584429,2.584286,2.584191,2.584416,2.584016,2.584125,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71749,0.1156639,2.736032,202.0997,101.9171,63.43414,30.27736,2.584185,2.584288,2.584475,2.584294,2.584163,2.584377,2.584012,2.584186,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71771,0.1156713,2.735621,194.8828,101.917,63.43573,30.27465,2.584221,2.584256,2.58445,2.584265,2.584058,2.584399,2.584056,2.584161,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71758,0.1157467,2.735291,198.5134,101.9179,63.43537,30.27265,2.584265,2.584201,2.58443,2.584226,2.584154,2.584347,2.584028,2.584116,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71754,0.1161163,2.735375,201.1207,101.9187,63.43544,30.27316,2.584197,2.584234,2.584436,2.584193,2.584116,2.584378,2.584076,2.584108,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71771,0.1159384,2.735723,199.1438,101.9187,63.43585,30.27516,2.584192,2.584232,2.584433,2.584217,2.584076,2.584378,2.584056,2.584103,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71802,0.1159147,2.735866,200.7515,101.9176,63.4339,30.27673,2.584221,2.584165,2.584437,2.584207,2.584122,2.584431,2.583997,2.584121,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71821,0.1168892,2.735606,204.3163,101.9173,63.43316,30.27487,2.584232,2.584194,2.584441,2.584267,2.584103,2.584421,2.583942,2.584123,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71811,0.1166471,2.73539,196.8663,101.9177,63.43746,30.27308,2.584183,2.584268,2.584358,2.584312,2.584069,2.584352,2.583991,2.584137,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71822,0.116476,2.735279,204.414,101.9178,63.4352,30.27385,2.584222,2.584254,2.58443,2.584311,2.584102,2.584342,2.584026,2.584137,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71846,0.1169088,2.735353,206.9734,101.9173,63.43137,30.27385,2.584185,2.58421,2.58443,2.584285,2.584071,2.584396,2.584023,2.584163,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71829,0.1169342,2.735589,196.1074,101.9176,63.43258,30.27531,2.584165,2.584263,2.584431,2.584291,2.584172,2.58437,2.584001,2.584119,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71862,0.1176515,2.735776,200.9457,101.9167,63.43758,30.27483,2.584139,2.584201,2.584416,2.584224,2.584177,2.58438,2.583973,2.584074,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71871,0.1174244,2.735492,204.8354,101.9164,63.43544,30.27499,2.584213,2.584248,2.584507,2.584262,2.584127,2.584411,2.583916,2.584107,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71867,0.1162869,2.735204,199.2238,101.9165,63.4358,30.27198,2.584162,2.584179,2.58445,2.584268,2.584132,2.584359,2.584003,2.584098,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71854,0.1159073,2.735164,195.8969,101.9173,63.43351,30.27235,2.584163,2.584239,2.584458,2.584237,2.584151,2.584316,2.584056,2.584194,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71837,0.1152468,2.734914,207.62,101.9175,63.43216,30.27112,2.58415,2.584251,2.584432,2.584274,2.584119,2.584456,2.583978,2.584121,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71845,0.1154627,2.734845,194.7023,101.9171,63.43275,30.27014,2.584183,2.584251,2.584463,2.584305,2.584169,2.584387,2.584035,2.584115,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71829,0.114868,2.734443,205.7204,101.9173,63.43482,30.26784,2.584173,2.58417,2.584407,2.58426,2.584157,2.584321,2.584067,2.584083,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.7183,0.1157942,2.734705,198.5175,101.9165,63.43969,30.26798,2.584175,2.584251,2.584467,2.584251,2.584137,2.584309,2.584005,2.584097,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71826,0.1159981,2.734497,194.1896,101.9165,63.44227,30.26546,2.584234,2.584259,2.584416,2.5843,2.584175,2.584369,2.58401,2.584046,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:36:0,20.71815,0.1162696,2.734506,194.298,101.9169,63.44913,30.26385,2.584205,2.584194,2.584436,2.584237,2.584075,2.584393,2.583992,2.584155,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71798,0.1156348,2.734635,198.5605,101.9169,63.45578,30.26285,2.584118,2.584259,2.584444,2.584283,2.584122,2.584391,2.583966,2.584145,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71804,0.1153493,2.735826,196.56,101.9161,63.4654,30.2678,2.584232,2.58428,2.584441,2.584305,2.584101,2.584395,2.583928,2.584174,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71817,0.1149806,2.736325,194.4263,101.916,63.47145,30.26932,2.584202,2.584294,2.584451,2.58421,2.584081,2.584363,2.584017,2.58406,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71796,0.1146475,2.736741,200.4395,101.916,63.47631,30.27099,2.584223,2.584186,2.584401,2.584285,2.584118,2.584396,2.584061,2.584166,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71799,0.1149135,2.736903,196.2569,101.9158,63.48657,30.26724,2.584157,2.584227,2.584388,2.584282,2.584051,2.584385,2.584022,2.584183,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71793,0.115178,2.737239,197.7623,101.9153,63.50043,30.26718,2.584301,2.58422,2.584461,2.58432,2.584112,2.584334,2.584054,2.584106,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71793,0.1143437,2.737945,202.4751,101.9153,63.50798,30.26961,2.584207,2.584247,2.584461,2.58424,2.584103,2.584373,2.584038,2.584128,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71778,0.1148752,2.738617,204.7435,101.9158,63.51795,30.27038,2.584219,2.584223,2.584422,2.584261,2.584103,2.584437,2.584063,2.584092,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71754,0.11388,2.738723,205.2676,101.9163,63.53078,30.2683,2.584216,2.584262,2.584424,2.584299,2.584138,2.584372,2.584043,2.584063,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71753,0.1130371,2.73942,201.0017,101.9165,63.54019,30.27015,2.58414,2.58421,2.584399,2.584201,2.584052,2.584424,2.584015,2.584123,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71735,0.1133676,2.739041,200.3397,101.9166,63.54511,30.26689,2.584197,2.584126,2.584492,2.58424,2.584138,2.58437,2.584098,2.584115,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71732,0.1136691,2.739456,202.0975,101.9168,63.55063,30.26785,2.584168,2.584171,2.584515,2.584301,2.584176,2.584348,2.584,2.584145,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71745,0.1145134,2.739565,200.5001,101.916,63.55202,30.26704,2.58423,2.584203,2.584453,2.584244,2.584059,2.584407,2.584017,2.584187,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71722,0.1145013,2.739806,203.4224,101.9163,63.54918,30.26948,2.584209,2.584276,2.58448,2.584331,2.58418,2.584382,2.584003,2.584104,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71734,0.1139343,2.740014,203.6488,101.9161,63.54864,30.27162,2.584231,2.584249,2.584403,2.584262,2.584155,2.584357,2.584035,2.584134,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71735,0.114202,2.739877,203.2379,101.9161,63.54649,30.27134,2.584233,2.584238,2.584403,2.584159,2.58411,2.584387,2.584093,2.584083,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71725,0.1145756,2.739596,203.4689,101.9164,63.54303,30.2697,2.584194,2.584252,2.584415,2.584246,2.584088,2.584447,2.58404,2.584135,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71713,0.1153344,2.738896,193.5765,101.9168,63.53968,30.26648,2.584163,2.584233,2.584496,2.584251,2.584078,2.584399,2.584026,2.584187,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71744,0.1152254,2.7385,200.1647,101.9159,63.53763,30.26484,2.584231,2.584203,2.584449,2.584253,2.584122,2.58433,2.584045,2.584162,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71727,0.1148873,2.738271,206.5084,101.9167,63.53426,30.26447,2.584211,2.584254,2.584437,2.584226,2.584107,2.584314,2.583992,2.584071,-1000,-1000,-1000,-1000,0,-1
2/24/22 10:37:0,20.71737,0.1142658,2.738131,192.8763,101.9164,63.53227,30.26412,2.584175,2.584211,2.584418,2.584238,2.584134,2.584331,2.584005,2.584119,-1000,-1000,-1000,-1000,0,-1
