DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut,Marker
3/23/22 13:59:50,20.86429,5.59E-02,2.73224,185.6075,100.9889,59.13446,31.4853,2.584189,2.584204,2.584454,2.584303,2.584141,2.584365,2.584013,2.584096,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:51,20.86433,5.56E-02,2.732371,194.3132,100.9886,59.13551,31.48455,2.584236,2.584301,2.584492,2.584298,2.584099,2.584407,2.584031,2.584144,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:52,20.86487,5.51E-02,2.73227,204.6468,100.988,59.13773,31.48323,2.584262,2.584231,2.584464,2.584232,2.584163,2.584465,2.584119,2.584203,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:53,20.86495,5.57E-02,2.732006,210.9706,100.9874,59.13847,31.48131,2.584217,2.584242,2.584464,2.584249,2.584109,2.584362,2.584074,2.584163,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:54,20.86503,5.60E-02,2.732107,207.7404,100.987,59.14065,31.48132,2.584212,2.584274,2.584462,2.58428,2.584123,2.58444,2.584039,2.584063,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:55,20.86509,5.57E-02,2.73142,218.7236,100.9868,59.14126,31.47979,2.584186,2.584249,2.584452,2.584332,2.584132,2.584409,2.584015,2.584106,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:56,20.86505,5.58E-02,2.731796,215.5945,100.9868,59.14336,31.47851,2.584186,2.584242,2.584473,2.584281,2.584115,2.584437,2.584094,2.584146,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:57,20.86512,0.0561277,2.732234,186.8907,100.9873,59.14403,31.48112,2.5842,2.584313,2.584442,2.584315,2.584114,2.58441,2.584034,2.584174,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:58,20.86524,5.58E-02,2.732328,208.2206,100.987,59.14233,31.48224,2.584165,2.584246,2.584491,2.584275,2.584111,2.584393,2.584066,2.584168,-1000,-1000,-1000,-1000,0,-1
3/23/22 13:59:59,20.86513,5.62E-02,2.732936,215.3483,100.9866,59.14091,31.48658,2.584219,2.584197,2.584349,2.584338,2.584124,2.584397,2.584007,2.584156,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:0,20.86493,5.64E-02,2.732107,190.492,100.9865,59.14,31.47983,2.58419,2.584248,2.584473,2.584308,2.584147,2.58443,2.584043,2.584203,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:1,20.86488,5.60E-02,2.731646,195.9995,100.9858,59.13969,31.47863,2.584222,2.584295,2.584439,2.58432,2.584157,2.584323,2.583978,2.584137,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:2,20.86492,5.60E-02,2.731712,201.55,100.9853,59.13834,31.47946,2.584165,2.584231,2.584416,2.584319,2.584146,2.58441,2.584021,2.584156,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:3,20.86483,5.53E-02,2.731874,210.2637,100.985,59.13616,31.479,2.584264,2.58428,2.5844,2.584302,2.584095,2.584388,2.584058,2.58409,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:4,20.86493,5.55E-02,2.731559,202.6603,100.985,59.13299,31.48067,2.584254,2.584266,2.584449,2.584274,2.584063,2.584418,2.584033,2.584152,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:5,20.86446,5.49E-02,2.73147,194.0417,100.9854,59.13092,31.48011,2.584133,2.584198,2.584453,2.584245,2.584061,2.584301,2.583992,2.584132,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:6,20.86467,0.0551503,2.730804,198.9166,100.9851,7.50E-31,31.47585,2.584231,2.584255,2.584451,2.584238,2.584112,2.584366,2.584,2.584114,-1000,-1000,-1000,-1000,0,-1
3/23/22 14:00:7,20.86473,5.54E-02,2.73087,184.7611,100.9847,59.13274,31.4757,2.584206,2.584311,2.584442,2.584256,2.584095,2.584407,2.584021,2.584194,-1000,-1000,-1000,-1000,0,-1
