DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut
3/7/22 13:32:0,20.84602,0.062868,2.831105,187.4285,101.475,61.48729,31.42284,2.584198,2.584218,2.584446,2.584295,2.584092,2.584407,2.58406,2.584151,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84608,6.29E-02,2.830406,200.8983,101.4748,61.48682,31.42006,2.584119,2.584232,2.584444,2.584265,2.584144,2.584326,2.583967,2.584045,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84613,6.27E-02,2.830872,209.9562,101.4752,61.48643,31.42169,2.584174,2.584251,2.584393,2.584228,2.584114,2.584321,2.58395,2.584155,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84608,6.25E-02,2.830463,214.0953,101.4744,61.48591,31.41929,2.584193,2.584199,2.584423,2.584223,2.584059,2.584297,2.584075,2.584081,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84604,6.26E-02,2.830754,187.5898,101.4748,61.48311,31.4219,2.584185,2.584273,2.584447,2.58428,2.584096,2.584393,2.583973,2.584114,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84619,6.37E-02,2.830448,197.5537,101.474,61.47995,31.41992,2.584174,2.584228,2.584463,2.584314,2.584154,2.58441,2.584013,2.584074,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84616,6.37E-02,2.82989,194.621,101.4738,61.4756,31.41869,2.584127,2.58427,2.584368,2.58426,2.584154,2.584486,2.584054,2.584111,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84644,6.37E-02,2.829793,213.5581,101.4728,61.47584,31.41801,2.584142,2.584186,2.584444,2.584285,2.584159,2.584426,2.583974,2.584089,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84588,6.37E-02,2.829139,191.7626,101.4737,61.47034,31.41552,2.584198,2.58423,2.584454,2.58426,2.584089,2.584414,2.584026,2.584127,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84574,6.34E-02,2.828958,186.3593,101.474,61.46801,31.41506,2.584171,2.584228,2.584423,2.584317,2.584135,2.58437,2.584052,2.58411,-1000,-1000,-1000,-1000,0
3/7/22 13:32:0,20.84571,6.38E-02,2.828976,189.9877,101.4724,61.46508,31.41552,2.584214,2.584203,2.584469,2.584315,2.584211,2.584355,2.584053,2.584097,-1000,-1000,-1000,-1000,0
