Animal ID,AnalysisAnimalID,Mass,Time In,Time In Researcher ID,Time Out,Time Out Researcher ID,Flow Rate,Baseline Duration,Sample Period,Check One Time,Check Two Time,Check Three Time,Check Four Time,Check Five Time,Check Six Time,Marker 1 set reason,Marker 2 set reason,Marker 3 set reason,Marker 4 set reason,Marker 5 set reason,Marker 6 set reason,Marker 7 set reason,Marker 8 set reason,Marker 9 set reason,Marker 10 set reason,Filename,Comments,Treatment Group
95 - test,95 - test,95,9:15,TO,,,400,180,1800,,,,,,,baseline start,tapped on tube to change MR,,,,,,,,,Data_02-22-2022_001,,test
95 - test2,95 - test2,95,9:15,TO,,,400,360,2700,,,,,,,baseline start,baseline end,,,,,,,,,Data_02-22-2022_002,short,test
91,91,74,9:13,CL,15:17,CL,200,360,2160,10:11,11:12,12:18,13:12,14:12,15:12,TO: changed period to 2160 s from 1560 s,change drierite,drierite column closed,,,,,,,,Data_02-23-2022_91_ 001 and Data_02-23-2022_91_002,,control
113 or 123,113,50,9:34,CL,17:08,TH,200,360,2160,10:30,11:29,12:19,14:27,,,CL: accidentally pressed space bar,CL: change drierite,CL: drierite column closed,,,,,,,,Data_02-24-2022_113_001 and Data_02-24-2022_113_002,,control
109 or 119,119,31,9:20,CL,16:30,CL ,200,360,2160,11:22,12:36,13:39,14:39,15:30,,CL: change drierite,CL: drierite column closed,,,,,,,,,Data_03-02-2022_001,,control
78,78,37,8:57,CL,16:27,CL,200,360,2160,10:11,11:02,12:06,13:11,13:50,14:50,CL: change drierite,CL: drierite column closed,,,,,,,,,Data_03-03-2022_001,,control
83,83,39,9:17,CL,16:32,CL,200,360,2160,11:16,12:15,12:50,14:58,15:52,,CL: change drierite,CL: marker did not appear on screen so I pressed the spacebar again,CL: marker did not appear on screen so I pressed the spacebar again,CL: drierite column closed,,,,,,,Data_03-07-2022_001,,control
86,86,32,9:15,CL,16:41,CL,200,360,2160,10:28,11:54,13:44,14:35,15:26,,CL: change drierite,CL: drierite column closed,CL: tapped on tube to wake up gator,,,,,,,,Data_03-08-2022_001,,control
64,64,29,9:25,CL,16:39,CL,200,360,2160,11:08,12:28,13:30,14:43,15:53,,CL: tapped on tube to wake gator,CL: tapped on tube to wake up gator,CL: tapped on tube to wake up gator,CL: tapped on tube to wake up gator,,,,,,,Data_03-09-2022_001,gator fell asleep 4 times,control
68,68,34,9:02,CL,16:37,CL,200,360,2160,9:52,10:59,11:56,13:50,15:27,,CL: tapped on tube to wake gator,CL: tapped on tube to wake up gator,CL: tapped on tube to wake up gator,CL: accidentally pressed spacebar,CL: tapped on tube to wake up gator,,,,,,Data_03-10-2022_001,,control
90,90,31,9:12,CL,15:49,CL,200,360,2160,10:25,11:34,12:27,13:35,14:42,,CL: tapped on tube to wake gator,,,,,,,,,,Data_03-14-2022_001,first MT gator,MT
132,132,26,8:49,CL,16:28,CL,200,360,2160,9:42,10:47,11:34,12:11,13:53,15:29,CL: tapped on tube to wake gator,CL: tapped on tube to wake up gator,CL: tapped on tube to wake up gator,,,,,,,,Data_03-15-2022_001,,MT
82,82,33,9:19,CL,16:28,CL,200,360,2160,10:28,11:27,12:31,14:02,15:05,,CL: tapped on tube to wake gator,CL: change drierite,CL: drierite column closed,,,,,,,,Data_03-16-2022_001,,MT
67,67,36,9:10,CL,17:10,TO,200,360,2160,10:10,10:54,12:21,13:52,15:30,,CL: tapped on tube to wake gator,CL: tapped on tube to wake up gator,CL: change drierite,CL: drierite column closed,,,,,,,Data_03-17-2022_001,,MT
148,148,33,9:10,CL,16:19,CL,200,360,2160,11:22,12:28,13:26,14:30,15:31,,"TO: 1329 changed ascarite column, 1331 closed column",CL: tapped on tube to wake up gator,CL: change drierite,CL: drierite column closed,,,,,,,Data_03-21-2022_001,,MT
47,47,29,9:11,CL,17:00,CL,200,360,2160,11:25,12:38,13:21,14:26,15:11,,CL: tapped on tube to wake gator,CL: tapped on tube to wake up gator,CL: tapped on tube to wake up gator,CL: change drierite,CL: drierite column closed,CL: tapped on tube to wake gator,CL: tapped on tube to wake gator,,,,Data_03-23-2022_001,,MT
70,70,33,9:09,CL,16:23,CL,200,360,2160,10:19,11:25,12:10,13:55,15:18,,CL: change drierite,CL: drierite column closed,CL: tapped on tube to wake up gator,CL: tapped on tube to wake up gator,,,,,,,Data_03-24-2022_001,,MT
84,84,33,9:11,CL,16:30,CL,200,360,2160,10:09,11:52,12:25,14:54,,,CL: tapped on tube to wake gator,CL: change drierite,CL: drierite column closed,CL: tapped on tube to wake up gator,,,,,,,Data_03-28-2022_001,last one :(,MT
